ISBN,Titulo,Autor,Precio
978-3-16-148410-1,1984,George Orwell,19.62
978-3-16-148410-2,To Kill a Mockingbird,Harper Lee,17.54
978-3-16-148410-3,The Great Gatsby,F. Scott Fitzgerald,50.0
978-3-16-148410-4,One Hundred Years of Solitude,Gabriel García Márquez,84.97
978-3-16-148410-5,A Passage to India,E.M. Forster,41.77
978-3-16-148410-6,Invisible Man,Ralph Ellison,46.54
978-3-16-148410-7,Don Quixote,Miguel de Cervantes,7.57
978-3-16-148410-8,Beloved,Toni Morrison,71.7
978-3-16-148410-9,Mrs. Dalloway,Virginia Woolf,51.48
978-3-16-148410-10,Things Fall Apart,Chinua Achebe,13.49
978-3-16-148410-11,Jane Eyre,Charlotte Brontë,28.12
978-3-16-148410-12,The Color Purple,Alice Walker,77.13
978-3-16-148410-13,Catch-22,Joseph Heller,15.16
978-3-16-148410-14,Ulysses,James Joyce,11.05
978-3-16-148410-15,Moby-Dick,Herman Melville,75.23
978-3-16-148410-16,The Lord of the Rings,J.R.R. Tolkien,98.98
978-3-16-148410-17,Pride and Prejudice,Jane Austen,59.98
978-3-16-148410-18,The Diary of Anne Frank,Anne Frank,30.91
978-3-16-148410-19,1984,George Orwell,53.31
978-3-16-148410-20,The Catcher in the Rye,J.D. Salinger,23.65
